WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,DEN,DEN,2,1,0,0,2,0,0,2,1,0,0,1,0,0,1
2,BUF,BUF,1,1,0,0,1,0,0,5,1,0,0,5,0,0,1
3,PIT,LV,2,1,0,1,1,1,0,2,3,0,0,2,0,0,1
4,LAC,LA,2,1,0,0,2,0,0,3,1,0,0,3,0,0,1
5,GB,LV,2,1,0,0,2,0,0,1,2,0,0,1,0,0,1
6,NE,LV,1,4,1,0,1,0,0,2,1,0,0,2,0,0,1
7,CHI,CHI,1,2,0,1,0,0,0,4,1,0,0,3,0,0,1
8,DET,DET,2,0,0,0,2,0,0,2,4,0,0,2,0,0,1
9,NYG,LV,3,3,0,0,3,0,0,1,0,0,1,0,0,0,1
10,NYJ,LV,1,3,0,0,1,0,0,0,4,0,0,0,0,0,1
11,MIA,MIA,1,2,0,0,1,0,0,2,2,0,0,2,0,0,1
12,KC,LV,2,1,0,0,2,0,0,4,1,0,0,4,0,0,1
14,MIN,LV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
15,LAC,LV,9,0,0,0,9,0,0,3,0,0,0,3,0,0,1
16,KC,KC,,,,,,,,,,,,,,,
17,IND,IND,,,,,,,,,,,,,,,
18,DEN,LV,,,,,,,,,,,,,,,
