WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,WAS,WAS,1,3,0,0,1,0,0,2,2,0,0,2,0,0,1
2,NYG,ARI,3,2,0,1,2,1,0,4,1,0,0,4,0,0,1
3,DAL,ARI,3,3,0,1,1,0,0,1,3,0,0,1,0,0,1
4,SF,SF,2,1,0,1,1,0,0,5,0,0,0,5,0,0,1
5,CIN,ARI,3,0,0,0,2,0,0,4,2,0,0,4,0,0,1
6,LAR,LA,0,3,0,0,0,0,0,2,4,0,0,2,0,0,1
7,SEA,SEA,1,1,0,0,1,0,0,2,2,0,0,2,0,0,1
8,BAL,ARI,3,1,0,2,1,1,0,4,1,0,0,4,0,0,1
9,CLE,CLE,0,0,0,0,0,0,0,3,2,0,0,3,0,0,1
10,ATL,ARI,,,,,,,,,,,,,,,
11,HOU,HOU,,,,,,,,,,,,,,,
12,LAR,ARI,,,,,,,,,,,,,,,
13,PIT,PIT,,,,,,,,,,,,,,,
15,SF,ARI,,,,,,,,,,,,,,,
16,CHI,CHI,,,,,,,,,,,,,,,
17,PHI,PHI,,,,,,,,,,,,,,,
18,SEA,ARI,,,,,,,,,,,,,,,
