WEEK,OPP,VENUE,TD_F,FG_F,S_F,GOFOR2_F,PAT1_F,PAT2_F,D2PC_F,TD_A,FG_A,S_A,GOFOR2_A,PAT1_A,PAT2_A,D2PC_A,weight
1,LAR,SEA,1,2,0,0,1,0,0,3,3,0,0,3,0,0,1
2,DET,DET,4,1,0,0,4,0,0,4,1,0,0,4,0,0,1
3,CAR,SEA,3,4,0,1,2,1,0,3,2,0,0,3,0,0,1
4,NYG,NY,3,1,0,0,3,0,0,0,1,0,0,0,0,0,1
6,CIN,CIN,1,2,0,0,1,0,0,2,1,0,0,2,0,0,1
7,ARI,SEA,2,2,0,0,2,0,0,1,1,0,0,1,0,0,1
8,CLE,SEA,3,1,0,0,3,0,0,2,2,0,0,2,0,0,1
9,BAL,BAL,,,,,,,,,,,,,,,
10,WAS,SEA,,,,,,,,,,,,,,,
11,LAR,LA,,,,,,,,,,,,,,,
12,SF,SEA,,,,,,,,,,,,,,,
13,DAL,DAL,,,,,,,,,,,,,,,
14,SF,SF,,,,,,,,,,,,,,,
15,PHI,SEA,,,,,,,,,,,,,,,
16,TEN,TEN,,,,,,,,,,,,,,,
17,PIT,SEA,,,,,,,,,,,,,,,
18,ARI,ARI,,,,,,,,,,,,,,,
