ROUND,OPP,VENUE,G_F,B_F,G_A,B_A,weight
1,HAW,MCG,19,10,9,11,1
2,GC,DOC,16,12,11,14,1
3,STK,MCG,11,8,14,8,1
4,GWS,DOC,11,22,11,9,1
5,MEL,ADE,15,14,11,11,1
6,COL,MCG,11,11,13,12,1
7,GEE,MCG,16,8,20,12,1
8,PA,ADE,13,9,12,20,1
9,BL,GAB,6,9,12,15,1
10,RIC,MCG,10,11,10,10,1
11,WC,PER,14,12,6,10,1
12,NM,DOC,16,9,15,9,1
13,CAR,MCG,13,8,6,16,1
15,FRE,PER,9,7,14,9,1
16,PA,MCG,10,14,11,12,1
17,ADE,DOC,17,13,15,9,1
18,GEE,KAR,7,3,18,14,1
19,WB,DOC,7,7,13,12,1
20,SYD,DOC,15,9,15,11,1
21,WC,DOC,10,13,11,6,1
22,NM,DOC,13,8,12,5,1
23,GWS,SSS,5,6,25,12,1
24,COL,MCG,3,13,16,5,1
