ROUND,OPP,VENUE,G_F,B_F,G_A,B_A,weight
1,ADE,SSS,15,16,12,18,1
2,WC,PER,11,15,14,16,1
3,CAR,SSS,9,10,9,20,1
4,ESS,DOC,11,9,11,22,1
5,HAW,NOR,10,17,11,9,1
6,BL,MAN,13,9,16,12,1
7,SYD,SCG,17,5,16,10,1
8,WB,MAN,10,11,13,8,1
9,COL,MCG,7,13,18,12,1
10,STK,SSS,12,8,13,14,1
11,GEE,KAR,12,9,10,14,1
12,RIC,SSS,15,14,16,14,1
13,NM,BEL,15,13,11,9,1
14,FRE,SSS,16,10,5,6,1
16,MEL,TRA,7,5,5,15,1
17,HAW,SSS,12,13,10,12,1
18,ADE,ADE,10,11,8,9,1
19,GC,MAN,15,13,9,9,1
20,WB,EUR,11,12,10,13,1
21,SYD,SSS,12,13,15,6,1
22,PA,ADE,13,7,21,10,1
23,ESS,SSS,25,12,5,6,1
24,CAR,DOC,16,9,11,7,1
25,STK,MCG,15,11,11,11,1
26,PA,ADE,13,15,9,16,1
