ROUND,OPP,VENUE,G_F,B_F,G_A,B_A,weight
1,BL,ADE,18,18,11,6,1
2,COL,MCG,9,10,21,9,1
3,ADE,ADE,13,8,18,9,1
4,SYD,SCG,9,12,9,10,1
5,WB,ADE,10,10,8,8,1
6,WC,ADE,16,13,10,9,1
7,STK,DOC,12,11,11,10,1
8,ESS,ADE,12,20,13,9,1
9,NM,BEL,20,15,10,5,1
10,MEL,ADE,11,14,11,10,1
11,RIC,MCG,10,17,9,13,1
12,HAW,ADE,23,13,14,12,1
13,WB,MAR,16,11,13,7,1
14,GEE,ADE,16,14,11,6,1
16,ESS,MCG,11,12,10,14,1
17,GC,ADE,16,10,11,7,1
18,CAR,DOC,10,12,18,14,1
19,COL,ADE,12,11,13,7,1
20,ADE,ADE,9,11,16,16,1
21,GEE,KAR,12,13,14,13,1
22,GWS,ADE,21,10,13,7,1
23,FRE,PER,11,8,8,10,1
24,RIC,ADE,13,16,8,15,1
25,BL,GAB,11,9,19,9,1
26,GWS,ADE,9,16,13,15,1
